UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
B9A064,IGLL5,B9A064,IGLL5_HUMAN,Immunoglobulin lambda-like polypeptide 5,TRUE,M / MaN,M,MaN,40,B9A064,1013.64501953125,2506.0185546875,1.31,1.31,147.23,2.47,0,2.46E-01,3.31E-01,39,0.490479206011922,Homo sapiens,0%,23063.24,"phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation","antigen binding,immunoglobulin receptor binding","external side of plasma membrane,immunoglobulin complex, circulating,extracellular exosome,blood microparticle",sp,2,2,uniprot_sprot_2015-08-28_HUMAN,>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2,9,17
O00148,DDX39A,O00148,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A,TRUE,M / MaN,M,MaN,60,O00148,38125.84375,2494.50268554687,-3.93,3.93,-93.46,0.07,0,5.20E-01,4.89E-01,59,0.464108643136143,Homo sapiens,0%,49129.51,"mRNA splicing, via spliceosome,termination of RNA polymerase II transcription,RNA export from nucleus,mRNA export from nucleus,cellular response to DNA damage stimulus,regulation of gene expression,RNA secondary structure unwinding,mRNA 3'-end processing","ATP-dependent RNA helicase activity,protein binding,ATP binding,ATPase activity,poly(A) RNA binding","nucleus,nucleoplasm,spliceosomal complex,membrane,cytoplasm",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,28,52
O00159,MYO1C,O00159,MYO1C_HUMAN,Unconventional myosin-Ic,TRUE,M / MaN,M,MaN,355,O00159,5866.71826171875,7757.05517578125,0.40,0.40,32.22,1.32,0,4.52E-01,4.54E-01,354,0.139507864002306,Homo sapiens,2.80%,121681.67,"protein targeting,protein targeting to membrane,positive regulation of cell migration,positive regulation of actin filament polymerization,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of gene expression, epigenetic,mRNA transport,positive regulation of protein targeting to membrane,positive regulation of cellular response to insulin stimulus,positive regulation of vascular endothelial growth factor signaling pathway,regulation of bicellular tight junction assembly","microfilament motor activity,actin binding,receptor binding,protein binding,calmodulin binding,ATP binding,protein C-terminus binding,Ral GTPase binding,actin-dependent ATPase activity","nuclear pore,nucleoplasm,nucleolus,cytoplasm,cytosol,plasma membrane,microvillus,brush border,basal plasma membrane,membrane,cytoplasmic, membrane-bounded vesicle,lateral plasma membrane,unconventional myosin complex,filamentous actin,ruffle membrane,membrane raft,myosin I complex,stereocilium membrane,extracellular exosome,stress fiber",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,70,97
O00160,MYO1F,O00160,MYO1F_HUMAN,Unconventional myosin-If,TRUE,M / MaN,M,MaN,10,O00160,19.2723541259765,17.6990089416503,-0.12,0.12,-8.16,0.92,0,5.89E-01,5.19E-01,9,0.582324375711036,Homo sapiens,0%,124844.28,biological_process,"motor activity,actin binding,calmodulin binding,ATP binding",unconventional myosin complex,sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00160|MYO1F_HUMAN Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3,27,32
O00170,AIP,O00170,AIP_HUMAN,AH receptor-interacting protein,TRUE,M / MaN,M,MaN,10,O00170,115.083152770996,100.153160095214,-0.20,0.20,-12.97,0.87,0,4.78E-01,4.68E-01,9,0.57457058977713,Homo sapiens,0%,37636.01,"protein targeting to mitochondrion,xenobiotic metabolic process,signal transduction,regulation of protein kinase A signaling,protein maturation by protein folding,negative regulation of cyclic-nucleotide phosphodiesterase activity,regulation of nucleic acid-templated transcription","transcription coactivator activity,signal transducer activity,protein binding,transcription factor binding,aryl hydrocarbon receptor binding,GAF domain binding,unfolded protein binding","nucleoplasm,cytoplasm,cytosol,aryl hydrocarbon receptor complex,plasma membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2,19,29
O00182,LGALS9,O00182,LEG9_HUMAN,Galectin-9,TRUE,M / MaN,M,MaN,10,O00182,13.4391012191772,130.331420898437,3.28,3.28,869.79,9.70,0,6.46E-02,1.46E-01,9,0.914224928396554,Homo sapiens,0%,39518.17,"natural killer cell tolerance induction,chemotaxis,inflammatory response,female pregnancy,positive regulation of gene expression,negative regulation of gene expression,response to lipopolysaccharide,negative regulation of chemokine production,negative regulation of interferon-gamma production,negative regulation of tumor necrosis factor production,positive regulation of interleukin-4 production,positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response,p38MAPK cascade,positive regulation of NF-kappaB import into nucleus,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of mast cell degranulation,negative regulation of natural killer cell mediated cytotoxicity,negative regulation of activated T cell proliferation,positive regulation of viral entry into host cell,positive regulation of interleukin-1 beta secretion,positive regulation of NF-kappaB transcription factor activity,maternal process involved in female pregnancy,positive regulation of activated T cell autonomous cell death,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,cellular response to interferon-gamma,positive regulation of transforming growth factor beta production,positive regulation of monocyte chemotactic protein-1 production,cellular response to virus,positive regulation of interferon-gamma secretion,positive regulation of tumor necrosis factor secretion,positive regulation of interleukin-8 secretion,positive regulation of dendritic cell chemotaxis,negative regulation of CD4-positive, alpha-beta T cell proliferation,positive regulation of CD4-positive, alpha-beta T cell proliferation,positive regulation of interleukin-13 secretion,positive regulation of dendritic cell apoptotic process,positive regulation of interleukin-6 secretion,positive regulation of interleukin-10 secretion,positive regulation of interleukin-12 secretion,positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,positive regulation of dendritic cell differentiation,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,regulation of interleukin-4 production,regulation of interleukin-5 production,toll-like receptor 2 signaling pathway,toll-like receptor 4 signaling pathway,mature conventional dendritic cell differentiation,regulation of p38MAPK cascade","signal transducer activity,galactose binding,enzyme binding,carbohydrate binding,disaccharide binding","extracellular space,intracellular,nucleus,cytoplasm,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00182|LEG9_HUMAN Galectin-9 OS=Homo sapiens GN=LGALS9 PE=1 SV=2,5,7
O00186,STXBP3,O00186,STXB3_HUMAN,Syntaxin-binding protein 3,TRUE,M / MaN,M,MaN,10,O00186,80.5195007324218,32.9581794738769,-1.29,1.29,-59.07,0.41,0,8.16E-01,6.00E-01,9,0.615326938140284,Homo sapiens,0%,67764.27,"vesicle docking involved in exocytosis,brain development,glucose transport,protein to membrane docking,insulin secretion,response to insulin,neutrophil degranulation,negative regulation of calcium ion-dependent exocytosis,protein heterooligomerization,platelet aggregation","protein binding,syntaxin-1 binding,syntaxin binding","cytosol,plasma membrane,basolateral plasma membrane,apical plasma membrane,platelet alpha granule,specific granule,extracellular exosome,tertiary granule",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens GN=STXBP3 PE=1 SV=2,24,32
O00203,AP3B1,O00203,AP3B1_HUMAN,AP-3 complex subunit beta-1,TRUE,M / MaN,M,MaN,50,O00203,132.626388549804,363.669769287109,1.46,1.46,174.21,2.74,0,1.22E-01,2.16E-01,49,0.361025977300471,Homo sapiens,0%,121320.17,"protein targeting to lysosome,intracellular protein transport,blood coagulation,anterograde axonal transport,melanosome organization,antigen processing and presentation, exogenous lipid antigen via MHC class Ib,anterograde synaptic vesicle transport,positive regulation of NK T cell differentiation","protein phosphatase binding,GTP-dependent protein binding","lysosomal membrane,Golgi apparatus,membrane,AP-3 adaptor complex,clathrin adaptor complex,clathrin-coated vesicle membrane,axon cytoplasm",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,39,55
O00217,NDUFS8,O00217,NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",TRUE,M / MaN,M,MaN,5,O00217,25.7302341461181,10.7799787521362,-1.26,1.26,-58.10,0.42,0,9.92E-01,6.47E-01,4,1.47805324810971,Homo sapiens,0%,23705.09,"mitochondrial electron transport, NADH to ubiquinone,response to oxidative stress,mitochondrial respiratory chain complex I assembly","NADH dehydrogenase (ubiquinone) activity,metal ion binding,4 iron, 4 sulfur cluster binding,NADH dehydrogenase activity","mitochondrion,mitochondrial respiratory chain complex I,mitochondrial matrix",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,">sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1",10,13
O00232,PSMD12,O00232,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12,TRUE,M / MaN,M,MaN,25,O00232,104.627723693847,112.57453918457,0.11,0.11,7.60,1.08,0,5.76E-01,5.18E-01,24,0.391394880898137,Homo sapiens,0%,52904.4,"MAPK cascade,protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,regulation of cellular amino acid metabolic process,anaphase-promoting complex-dependent catabolic process,tumor necrosis factor-mediated signaling pathway,NIK/NF-kappaB signaling,Fc-epsilon receptor signaling pathway,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of mRNA stability,T cell receptor signaling pathway,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,Wnt signaling pathway, planar cell polarity pathway,negative regulation of canonical Wnt signaling pathway,positive regulation of canonical Wnt signaling pathway",,"proteasome complex,nucleoplasm,cytoplasm,cytosol,proteasome regulatory particle,proteasome regulatory particle, lid subcomplex,membrane,proteasome accessory complex,nuclear proteasome complex,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3,37,54
O00264,PGRMC1,O00264,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1,TRUE,M / MaN,M,MaN,5,O00264,65.3425750732421,118.948669433593,0.86,0.86,82.04,1.82,0,2.12E-01,3.02E-01,4,1.73336786582335,Homo sapiens,0%,21671.15,,"steroid binding,heme binding","nucleolus,endoplasmic reticulum,endoplasmic reticulum membrane,endomembrane system,membrane,integral component of membrane,organelle membrane,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3,19,22
O00299,CLIC1,O00299,CLIC1_HUMAN,Chloride intracellular channel protein 1,TRUE,M / MaN,M,MaN,40,O00299,312.78369140625,256.852264404296,-0.28,0.28,-17.88,0.82,0,5.77E-01,5.18E-01,39,0.319884953080073,Homo sapiens,12%,26922.72,"chloride transport,signal transduction,regulation of ion transmembrane transport,positive regulation of osteoblast differentiation,regulation of cell cycle,regulation of mitochondrial membrane potential,platelet aggregation,chloride transmembrane transport,glutathione metabolic process","voltage-gated ion channel activity,chloride channel activity,protein binding,cadherin binding involved in cell-cell adhesion,glutathione transferase activity","extracellular space,nucleus,nuclear envelope,cytoplasm,mitochondrion,plasma membrane,brush border,cell-cell adherens junction,membrane,nuclear membrane,vesicle,chloride channel complex,perinuclear region of cytoplasm,extracellular exosome,blood microparticle",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,24,42
O00303,EIF3F,O00303,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F,TRUE,M / MaN,M,MaN,30,O00303,2677.38134765625,194.197692871093,-3.79,3.79,-92.75,0.07,0,1.29E-01,2.24E-01,29,0.40446206366394,Homo sapiens,0%,37563.85,"formation of translation preinitiation complex,translational initiation,regulation of translational initiation,protein deubiquitination,IRES-dependent viral translational initiation","translation initiation factor activity,thiol-dependent ubiquitin-specific protease activity,protein binding,translation initiation factor binding","cytosol,eukaryotic translation initiation factor 3 complex,membrane,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex,eukaryotic translation initiation factor 3 complex, eIF3m",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,16,32
O00330,PDHX,O00330,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial",TRUE,M / MaN,M,MaN,5,O00330,6.21312618255615,3.78872656822204,-0.71,0.71,-39.02,0.61,0,7.87E-01,5.90E-01,4,0.807676101408,Homo sapiens,0%,54122.33,"pyruvate metabolic process,regulation of acetyl-CoA biosynthetic process from pyruvate,glyoxylate metabolic process,mitochondrial acetyl-CoA biosynthetic process from pyruvate","protein binding,transferase activity, transferring acyl groups,pyruvate dehydrogenase (NAD+) activity","mitochondrial matrix,pyruvate dehydrogenase complex",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,">sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens GN=PDHX PE=1 SV=3",17,21
O00338,SULT1C2,O00338,ST1C2_HUMAN,Sulfotransferase 1C2,TRUE,M / MaN,M,MaN,10,O00338,40.3559913635253,18.4685020446777,-1.13,1.13,-54.24,0.46,0,5.77E-01,5.18E-01,9,0.649017980824153,Homo sapiens,0%,34880.07,"amine metabolic process,3'-phosphoadenosine 5'-phosphosulfate metabolic process,sulfation","aryl sulfotransferase activity,sulfotransferase activity","cytoplasm,cytosol,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O00338|ST1C2_HUMAN Sulfotransferase 1C2 OS=Homo sapiens GN=SULT1C2 PE=1 SV=1,5,5
O00339,MATN2,O00339,MATN2_HUMAN,Matrilin-2,TRUE,M / MaN,M,MaN,40,O00339,181.147979736328,356.218200683593,0.98,0.98,96.64,1.97,0,7.64E-01,5.84E-01,39,0.378916459888538,Homo sapiens,0%,106836.92,"neuron migration,axon guidance,biological_process,glial cell migration,dendrite regeneration,response to axon injury","molecular_function,calcium ion binding","proteinaceous extracellular matrix,basement membrane,extracellular matrix",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4,8,8
O00391,QSOX1,O00391,QSOX1_HUMAN,Sulfhydryl oxidase 1,TRUE,M / MaN,M,MaN,35,O00391,307.984130859375,191.409286499023,-0.69,0.69,-37.85,0.62,0,3.36E-01,3.89E-01,34,0.300688518877912,Homo sapiens,0%,82577.73,"platelet degranulation,negative regulation of macroautophagy,cell redox homeostasis,oxidation-reduction process","protein disulfide isomerase activity,flavin-linked sulfhydryl oxidase activity","extracellular region,extracellular space,Golgi apparatus,integral component of Golgi membrane,platelet alpha granule lumen,intracellular membrane-bounded organelle,intercellular bridge,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00391|QSOX1_HUMAN Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3,23,29
O00410,IPO5,O00410,IPO5_HUMAN,Importin-5,TRUE,M / MaN,M,MaN,125,O00410,284.147338867187,312.122039794921,0.14,0.14,9.85,1.10,0,8.48E-01,6.14E-01,124,0.187747675747744,Homo sapiens,0%,123629.93,"protein import into nucleus, docking,protein import into nucleus, translocation,NLS-bearing protein import into nucleus,ribosomal protein import into nucleus,viral process,negative regulation of GTPase activity,positive regulation of protein import into nucleus,cellular response to amino acid stimulus","GTPase inhibitor activity,protein binding,nuclear localization sequence binding,Ran GTPase binding,protein transporter activity,poly(A) RNA binding","nucleus,nuclear pore,nucleoplasm,nucleolus,cytoplasm,Golgi apparatus,membrane,nuclear membrane,nuclear periphery,intracellular membrane-bounded organelle",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,62,120
O00429,DNM1L,O00429,DNM1L_HUMAN,Dynamin-1-like protein,TRUE,M / MaN,M,MaN,75,O00429,12683.3701171875,502.453948974609,-4.66,4.66,-96.04,0.04,0,8.71E-02,1.74E-01,74,0.355325842248679,Homo sapiens,0%,81877.15,"mitochondrial fission,release of cytochrome c from mitochondria,dynamin family protein polymerization involved in mitochondrial fission,endocytosis,cellular component disassembly involved in execution phase of apoptosis,mitochondrion organization,regulation of mitochondrion organization,peroxisome fission,regulation of protein oligomerization,positive regulation of apoptotic process,positive regulation of GTPase activity,mitochondrial fragmentation involved in apoptotic process,intracellular distribution of mitochondria,positive regulation of protein secretion,protein oligomerization,protein homotetramerization,heart contraction,membrane fusion,necroptotic process,mitochondrion morphogenesis,protein localization to mitochondrion,positive regulation of mitochondrial fission,mitochondrial membrane fission,positive regulation of release of cytochrome c from mitochondria,regulation of peroxisome organization,regulation of mitophagy,regulation of ATP metabolic process,positive regulation of intrinsic apoptotic signaling pathway,endoplasmic reticulum organization","GTPase activity,GTPase activator activity,protein binding,GTP binding,microtubule binding,lipid binding,Rab GTPase binding,GTP-dependent protein binding,ubiquitin protein ligase binding,protein homodimerization activity","cytoplasm,mitochondrion,mitochondrial outer membrane,peroxisome,endoplasmic reticulum,endoplasmic reticulum membrane,Golgi apparatus,cytosol,brush border,clathrin-coated pit,membrane,cell junction,synaptic vesicle membrane,intracellular membrane-bounded organelle,protein complex,perinuclear region of cytoplasm,microtubule",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=1 SV=2,54,91
