UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
A6NHQ2,FBLL1,A6NHQ2,FBLL1_HUMAN,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,TRUE,T / M,T,M,5,A6NHQ2,121.226333618164,240.699554443359,0.99,0.99,98.55,1.99,0,5.80E-01,6.37E-01,4,1.56561624891311,Homo sapiens,0%,34803.35,"box C/D snoRNA 3'-end processing,tRNA processing,rRNA methylation,histone glutamine methylation","RNA binding,rRNA methyltransferase activity,histone-glutamine methyltransferase activity","Cajal body,box C/D snoRNP complex,small-subunit processome",sp,3,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2,2,4
A6NHR9,SMCHD1,A6NHR9,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,TRUE,T / M,T,M,60,A6NHR9,70.1726608276367,95.801025390625,0.45,0.45,36.52,1.37,0,1.62E-02,1.15E-01,59,0.19540043579561,Homo sapiens,1%,226373.57,"chromosome organization,inactivation of X chromosome by DNA methylation",ATP binding,"Barr body,nuclear chromosome, telomeric region",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,85,105
A6NI72;A8MVU1;P14598,NCF1B;NCF1C;NCF1,A6NI72;A8MVU1;P14598,NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN,Putative neutrophil cytosol factor 1B;Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1,TRUE,T / M,T,M,10,A6NI72;A8MVU1;P14598,246.730606079101,43.0172080993652,-2.52,2.52,-82.57,0.17,0,7.29E-01,6.87E-01,9,1.06353853617472,Homo sapiens,0%;0%;0%,44817.01;41850.53;44651.82,"superoxide metabolic process,positive regulation of catalytic activity,respiratory burst,oxidation-reduction process;superoxide metabolic process,positive regulation of catalytic activity,respiratory burst,oxidation-reduction process;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,protein targeting to membrane,superoxide metabolic process,apoptotic process,cellular defense response,superoxide anion generation,positive regulation of catalytic activity,innate immune response,cell redox homeostasis,respiratory burst,vascular endothelial growth factor receptor signaling pathway,oxidation-reduction process","superoxide-generating NADPH oxidase activity,superoxide-generating NADPH oxidase activator activity,phosphatidylinositol binding,phosphatidylinositol-3,4-bisphosphate binding;superoxide-generating NADPH oxidase activity,superoxide-generating NADPH oxidase activator activity,phosphatidylinositol binding,phosphatidylinositol-3,4-bisphosphate binding;protein binding,electron carrier activity,superoxide-generating NADPH oxidase activity,superoxide-generating NADPH oxidase activator activity,SH3 domain binding,phosphatidylinositol binding,phosphatidylinositol-3,4-bisphosphate binding","cytosol,NADPH oxidase complex;cytosol,NADPH oxidase complex;rough endoplasmic reticulum,Golgi apparatus,cytosol,extrinsic component of membrane,dendrite,phagolysosome,NADPH oxidase complex,neuronal cell body",sp,5;5;1,2;1;3,uniprot_sprot_2015-08-28_HUMAN,>sp|A6NI72|NCF1B_HUMAN Putative neutrophil cytosol factor 1B OS=Homo sapiens GN=NCF1B PE=5 SV=2;>sp|A8MVU1|NCF1C_HUMAN Putative neutrophil cytosol factor 1C OS=Homo sapiens GN=NCF1C PE=5 SV=1;>sp|P14598|NCF1_HUMAN Neutrophil cytosol factor 1 OS=Homo sapiens GN=NCF1 PE=1 SV=3,2,3
A7E2V4,ZSWIM8,A7E2V4,ZSWM8_HUMAN,Zinc finger SWIM domain-containing protein 8,TRUE,T / M,T,M,5,A7E2V4,3.67949438095092,3.59276294708251,-0.03,0.03,-2.36,0.98,0,8.45E-01,7.25E-01,4,0.887177044565691,Homo sapiens,0%,197297.33,,zinc ion binding,,sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A7E2V4|ZSWM8_HUMAN Zinc finger SWIM domain-containing protein 8 OS=Homo sapiens GN=ZSWIM8 PE=1 SV=1,9,10
A7KAX9,ARHGAP32,A7KAX9,RHG32_HUMAN,Rho GTPase-activating protein 32,TRUE,T / M,T,M,15,A7KAX9,99.1658706665039,37.7030067443847,-1.40,1.40,-61.98,0.38,0,2.97E-01,5.11E-01,14,0.588360644101646,Homo sapiens,0.60%,230529.01,"small GTPase mediated signal transduction,positive regulation of GTPase activity,regulation of small GTPase mediated signal transduction","GTPase activator activity,protein binding,phosphatidylinositol binding","Golgi membrane,endoplasmic reticulum membrane,cytosol,cell cortex,endosome membrane,postsynaptic density,actin cytoskeleton,cell junction,dendritic spine,postsynaptic membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens GN=ARHGAP32 PE=1 SV=1,44,50
A8K7I4,CLCA1,A8K7I4,CLCA1_HUMAN,Calcium-activated chloride channel regulator 1,TRUE,T / M,T,M,20,A8K7I4,164.066589355468,89.6379928588867,-0.87,0.87,-45.36,0.55,0,4.48E-01,5.88E-01,19,0.614313357241684,Homo sapiens,0%,100225.55,"proteolysis,transport,calcium ion transport,ion transmembrane transport,cellular response to hypoxia,chloride transmembrane transport","metalloendopeptidase activity,intracellular calcium activated chloride channel activity,chloride channel activity,metal ion binding","extracellular space,plasma membrane,integral component of plasma membrane,microvillus,zymogen granule membrane",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens GN=CLCA1 PE=1 SV=3,36,57
A8MWD9;P62308,SNRPGP15;SNRPG,A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G,TRUE,T / M,T,M,10,A8MWD9;P62308,61.6617088317871,82.2054290771484,0.41,0.41,33.32,1.33,0,5.93E-01,6.41E-01,9,0.507552698941783,Homo sapiens,0%;0%,8544.04;8496.06,"mRNA splicing, via spliceosome;spliceosomal complex assembly,spliceosomal snRNP assembly,mRNA splicing, via spliceosome,termination of RNA polymerase II transcription,histone mRNA metabolic process,RNA splicing,nuclear import","RNA binding;protein binding,poly(A) RNA binding,RNA binding","spliceosomal complex,small nucleolar ribonucleoprotein complex;nucleoplasm,spliceosomal complex,U5 snRNP,U7 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,small nucleolar ribonucleoprotein complex,cytosol,small nuclear ribonucleoprotein complex,methylosome,SMN-Sm protein complex,P granule,U2-type prespliceosome,precatalytic spliceosome,catalytic step 2 spliceosome,spliceosomal tri-snRNP complex",sp,5;1,2;1,uniprot_sprot_2015-08-28_HUMAN,>sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2;>sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1,3,5
A8MXV4,NUDT19,A8MXV4,NUD19_HUMAN,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",TRUE,T / M,T,M,5,A8MXV4,11.1941003799438,16.2211799621582,0.54,0.54,44.91,1.45,0,5.01E-01,6.18E-01,4,1.06250979114237,Homo sapiens,0%,42233.31,"biological_process,fatty acid beta-oxidation using acyl-CoA oxidase","receptor binding,metal ion binding,acyl-CoA hydrolase activity","cellular_component,mitochondrion,peroxisomal matrix",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,">sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",19,27
B0I1T2,MYO1G,B0I1T2,MYO1G_HUMAN,Unconventional myosin-Ig,TRUE,T / M,T,M,50,B0I1T2,96.1940307617187,187.850875854492,0.97,0.97,95.28,1.95,0,7.82E-02,2.90E-01,49,0.255035529913118,Homo sapiens,0%,116442.07,"T cell mediated immunity,exocytosis,cell-substrate adhesion,Fc-gamma receptor signaling pathway involved in phagocytosis,cell gliding,T cell migration","motor activity,actin binding,calmodulin binding,ATP binding,phosphatidylinositol-4,5-bisphosphate binding,phosphatidylinositol-3,4,5-trisphosphate binding,phosphatidylinositol-3,4-bisphosphate binding","phagocytic cup,plasma membrane,microvillus,membrane,myosin complex,lamellipodium,filopodium,leading edge membrane,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2,27,34
B9A064,IGLL5,B9A064,IGLL5_HUMAN,Immunoglobulin lambda-like polypeptide 5,TRUE,T / M,T,M,55,B9A064,3091.36865234375,10584.548828125,1.78,1.78,242.39,3.42,0,6.80E-03,6.50E-02,54,0.324455114573303,Homo sapiens,18.70%,23063.24,"phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation","antigen binding,immunoglobulin receptor binding","external side of plasma membrane,immunoglobulin complex, circulating,extracellular exosome,blood microparticle",sp,2,2,uniprot_sprot_2015-08-28_HUMAN,>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2,9,17
O00148,DDX39A,O00148,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A,TRUE,T / M,T,M,100,O00148,2768.00463867187,3564.4482421875,0.36,0.36,28.77,1.29,0,5.22E-01,6.20E-01,99,0.223644813241956,Homo sapiens,19.70%,49129.51,"mRNA splicing, via spliceosome,termination of RNA polymerase II transcription,RNA export from nucleus,mRNA export from nucleus,cellular response to DNA damage stimulus,regulation of gene expression,RNA secondary structure unwinding,mRNA 3'-end processing","ATP-dependent RNA helicase activity,protein binding,ATP binding,ATPase activity,poly(A) RNA binding","nucleus,nucleoplasm,spliceosomal complex,membrane,cytoplasm",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,28,52
O00151,PDLIM1,O00151,PDLI1_HUMAN,PDZ and LIM domain protein 1,TRUE,T / M,T,M,30,O00151,247.816146850585,438.888671875,0.82,0.82,77.10,1.77,0,5.78E-01,6.36E-01,29,0.33074645450054,Homo sapiens,4.60%,36071.71,"response to hypoxia,regulation of transcription, DNA-templated,response to oxidative stress,cell-cell adhesion","transcription coactivator activity,zinc ion binding,cadherin binding involved in cell-cell adhesion","transcription factor complex,cytoplasm,cytoskeleton,cell-cell adherens junction,focal adhesion",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4,27,50
O00154,ACOT7,O00154,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase,TRUE,T / M,T,M,25,O00154,296.141174316406,194.823303222656,-0.60,0.60,-34.21,0.66,0,9.79E-01,7.57E-01,24,0.377298376383059,Homo sapiens,2.90%,41796.02,"coenzyme A biosynthetic process,long-chain fatty-acyl-CoA biosynthetic process,medium-chain fatty-acyl-CoA catabolic process,long-chain fatty-acyl-CoA catabolic process,medium-chain fatty acid biosynthetic process,palmitic acid biosynthetic process","fatty-acyl-CoA binding,protein binding,palmitoyl-CoA hydrolase activity,long-chain fatty acyl-CoA binding,protein homodimerization activity,acyl-CoA hydrolase activity,carboxylic ester hydrolase activity","nucleoplasm,cytoplasm,mitochondrion,cytosol,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3,22,42
O00159,MYO1C,O00159,MYO1C_HUMAN,Unconventional myosin-Ic,TRUE,T / M,T,M,345,O00159,9060.8603515625,1852.57104492187,-2.29,2.29,-79.55,0.20,0,1.07E-10,1.46E-08,344,0.145848324277151,Homo sapiens,21.60%,121681.67,"protein targeting,protein targeting to membrane,positive regulation of cell migration,positive regulation of actin filament polymerization,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of gene expression, epigenetic,mRNA transport,positive regulation of protein targeting to membrane,positive regulation of cellular response to insulin stimulus,positive regulation of vascular endothelial growth factor signaling pathway,regulation of bicellular tight junction assembly","microfilament motor activity,actin binding,receptor binding,protein binding,calmodulin binding,ATP binding,protein C-terminus binding,Ral GTPase binding,actin-dependent ATPase activity","nuclear pore,nucleoplasm,nucleolus,cytoplasm,cytosol,plasma membrane,microvillus,brush border,basal plasma membrane,membrane,cytoplasmic, membrane-bounded vesicle,lateral plasma membrane,unconventional myosin complex,filamentous actin,ruffle membrane,membrane raft,myosin I complex,stereocilium membrane,extracellular exosome,stress fiber",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,70,97
O00160,MYO1F,O00160,MYO1F_HUMAN,Unconventional myosin-If,TRUE,T / M,T,M,55,O00160,425.733337402343,310.958892822265,-0.45,0.45,-26.96,0.73,0,7.18E-01,6.82E-01,54,0.265113190896187,Homo sapiens,1%,124844.28,biological_process,"motor activity,actin binding,calmodulin binding,ATP binding",unconventional myosin complex,sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00160|MYO1F_HUMAN Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3,27,32
O00165,HAX1,O00165,HAX1_HUMAN,HCLS1-associated protein X-1,TRUE,T / M,T,M,5,O00165,37.8175735473632,45.7669029235839,0.28,0.28,21.02,1.21,0,8.62E-01,7.30E-01,4,1.60291200530177,Homo sapiens,0%,31620.51,"positive regulation of phosphatidylinositol 3-kinase signaling,regulation of actin filament polymerization,positive regulation of granulocyte differentiation,positive regulation of peptidyl-serine phosphorylation,regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of protein kinase B signaling,cellular response to cytokine stimulus,regulation of mitophagy,regulation of protein targeting to mitochondrion,positive regulation of actin cytoskeleton reorganization,mitochondrion organization","protein binding,interleukin-1 binding,protein N-terminus binding","nuclear envelope,transcription factor complex,mitochondrion,mitochondrial outer membrane,mitochondrial intermembrane space,endoplasmic reticulum,actin cytoskeleton,cytoplasmic, membrane-bounded vesicle,sarcoplasmic reticulum,lamellipodium,nuclear membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens GN=HAX1 PE=1 SV=2,12,15
O00170,AIP,O00170,AIP_HUMAN,AH receptor-interacting protein,TRUE,T / M,T,M,35,O00170,275.764984130859,195.797393798828,-0.49,0.49,-29.00,0.71,0,6.63E-01,6.62E-01,34,0.305934123723685,Homo sapiens,0%,37636.01,"protein targeting to mitochondrion,xenobiotic metabolic process,signal transduction,regulation of protein kinase A signaling,protein maturation by protein folding,negative regulation of cyclic-nucleotide phosphodiesterase activity,regulation of nucleic acid-templated transcription","transcription coactivator activity,signal transducer activity,protein binding,transcription factor binding,aryl hydrocarbon receptor binding,GAF domain binding,unfolded protein binding","nucleoplasm,cytoplasm,cytosol,aryl hydrocarbon receptor complex,plasma membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2,19,29
O00182,LGALS9,O00182,LEG9_HUMAN,Galectin-9,TRUE,T / M,T,M,15,O00182,158.521545410156,42.9554443359375,-1.88,1.88,-72.90,0.27,0,2.17E-03,2.90E-02,14,0.417343974654206,Homo sapiens,3.90%,39518.17,"natural killer cell tolerance induction,chemotaxis,inflammatory response,female pregnancy,positive regulation of gene expression,negative regulation of gene expression,response to lipopolysaccharide,negative regulation of chemokine production,negative regulation of interferon-gamma production,negative regulation of tumor necrosis factor production,positive regulation of interleukin-4 production,positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response,p38MAPK cascade,positive regulation of NF-kappaB import into nucleus,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of mast cell degranulation,negative regulation of natural killer cell mediated cytotoxicity,negative regulation of activated T cell proliferation,positive regulation of viral entry into host cell,positive regulation of interleukin-1 beta secretion,positive regulation of NF-kappaB transcription factor activity,maternal process involved in female pregnancy,positive regulation of activated T cell autonomous cell death,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,cellular response to interferon-gamma,positive regulation of transforming growth factor beta production,positive regulation of monocyte chemotactic protein-1 production,cellular response to virus,positive regulation of interferon-gamma secretion,positive regulation of tumor necrosis factor secretion,positive regulation of interleukin-8 secretion,positive regulation of dendritic cell chemotaxis,negative regulation of CD4-positive, alpha-beta T cell proliferation,positive regulation of CD4-positive, alpha-beta T cell proliferation,positive regulation of interleukin-13 secretion,positive regulation of dendritic cell apoptotic process,positive regulation of interleukin-6 secretion,positive regulation of interleukin-10 secretion,positive regulation of interleukin-12 secretion,positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,positive regulation of dendritic cell differentiation,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,regulation of interleukin-4 production,regulation of interleukin-5 production,toll-like receptor 2 signaling pathway,toll-like receptor 4 signaling pathway,mature conventional dendritic cell differentiation,regulation of p38MAPK cascade","signal transducer activity,galactose binding,enzyme binding,carbohydrate binding,disaccharide binding","extracellular space,intracellular,nucleus,cytoplasm,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00182|LEG9_HUMAN Galectin-9 OS=Homo sapiens GN=LGALS9 PE=1 SV=2,5,7
